LOCMethod_CK_min;LOCMethod_min;LOCMethod_count;NumberOfParameters_Designite_count;NumberOfParameters_Designite_75%;LOCMethod_50%;NumberOfParameters_Designite_std;LOCMethod_max;CyclomaticComplexity_Designite_count;LOCMethod_std;LOCMethod;CyclomaticComplexity_Designite_std;LOCMethod_CK_mean;CyclomaticComplexity_Designite_max;LOCMethod_CK_max;NumberOfParameters_Designite_50%;Bugged;CyclomaticComplexity_Designite_75%;LOCMethod_CK_50%;LOCMethod_CK_count;CyclomaticComplexity_Designite_min;NumberOfParameters_Designite_min;LOCMethod_CK_std;LOCMethod_25%;CyclomaticComplexity_Designite_25%;NumberOfParameters_Designite_25%;LOCMethod_mean;NumberOfParameters_Designite_mean;NumberOfParameters_Designite_max;LOCMethod_CK_75%;CyclomaticComplexity_Designite_50%;LOCMethod_CK_25%;LOCMethod_75%;CyclomaticComplexity_Designite_mean
1.0;0.0;7.0;7.0;1.0;0.0;0.3779644730092273;0.0;7.0;0.0;10.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;7.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.1428571428571428;2.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;3.0;3.0;1.0;0.0;0.5773502691896258;0.0;3.0;0.0;5.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;3.0;1.0;0.0;0.0;0.0;1.0;0.5;0.0;0.6666666666666666;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;5.0;5.0;1.0;0.0;0.5477225575051662;0.0;5.0;0.0;29.0;0.0;1.0;1.0;1.0;0.0;False;1.0;1.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.4;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;15.0;15.0;1.0;0.0;1.7182493859684491;0.0;15.0;0.0;20.0;0.0;1.0;1.0;1.0;1.0;True;1.0;1.0;17.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.3333333333333333;6.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;36.0;36.0;1.0;0.0;1.7959389815349591;0.0;36.0;0.0;255.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;35.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.4444444444444444;6.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;6.0;6.0;1.0;0.0;0.40824829046386296;0.0;6.0;0.0;11.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;6.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.8333333333333334;1.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;3.0;6.0;6.0;1.0;3.0;0.5477225575051661;3.0;6.0;0.0;30.0;0.0;3.333333333333333;1.0;5.0;0.5;False;1.0;3.0;6.0;1.0;0.0;0.8164965809277259;3.0;1.0;0.0;3.0;0.5;1.0;3.0;1.0;3.0;3.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;3.0;6.0;6.0;1.0;3.0;0.5163977794943223;9.0;6.0;2.449489742783178;34.0;0.8164965809277259;4.0;3.0;9.0;1.0;False;1.0;3.0;6.0;1.0;0.0;2.449489742783178;3.0;1.0;0.25;4.0;0.6666666666666666;1.0;3.0;1.0;3.0;3.0;1.3333333333333333
1.0;0.0;4.0;4.0;1.0;0.0;0.5;0.0;4.0;0.0;17.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;6.0;1.0;0.0;0.0;0.0;1.0;0.75;0.0;0.75;1.0;1.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;3.0;19.0;19.0;1.0;3.0;0.5129891760425771;3.0;19.0;0.0;75.0;0.0;2.9473684210526314;1.0;3.0;0.0;False;1.0;3.0;19.0;1.0;0.0;0.2294157338705617;3.0;1.0;0.0;3.0;0.4736842105263158;1.0;3.0;1.0;3.0;3.0;1.0
2.0;3.0;9.0;9.0;1.0;3.0;0.5270462766947299;3.0;9.0;0.0;47.0;0.0;2.888888888888889;1.0;3.0;0.0;False;1.0;3.0;9.0;1.0;0.0;0.33333333333333337;3.0;1.0;0.0;3.0;0.4444444444444444;1.0;3.0;1.0;3.0;3.0;1.0
1.0;0.0;11.0;11.0;1.0;0.0;0.4670993664969138;0.0;11.0;0.0;56.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;12.0;1.0;0.0;0.0;0.0;1.0;0.5;0.0;0.7272727272727273;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;9.0;9.0;1.0;0.0;0.5;0.0;9.0;0.0;25.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;8.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.6666666666666666;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;6.0;6.0;1.0;0.0;0.40824829046386296;0.0;6.0;0.0;11.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;6.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.8333333333333334;1.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;19.0;19.0;2.0;0.0;0.8852263727398499;0.0;19.0;0.0;46.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;19.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.6842105263157894;4.0;1.0;1.0;1.0;0.0;1.0
1.0;0.0;6.0;6.0;1.0;0.0;1.3662601021279464;0.0;6.0;0.0;12.0;0.0;1.0;1.0;1.0;1.0;False;1.0;1.0;7.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.3333333333333333;4.0;1.0;1.0;1.0;0.0;1.0
