blamemerge_blamegetDifficulty_count;FileLength_std;MethodLength_std;Difficulty;FileLength_25%;blamemerge_blamegetDifficulty_std;blamemerge_blamegetVocabulary_count;NumberOfDistinctOperators;blame_merge_blame_getDifficulty_std;blamemerge_blamegetEffort_count;FileLength_min;blamemerge_blamegetEffort_mean;blamemerge_blamegetVolume_mean;blamemerge_blamegetVocabulary_max;FileLength_50%;blame_merge_blame_getVolume_mean;blamemerge_blamegetEffort_max;MethodLength_mean;AnonymousInnerClassLength_max;FileLength_max;MethodLength_max;blamemerge_blamegetLength_mean;blame_merge_blame_getLength_max;Length;Bugged;blame_merge_blame_getVolume_std;blame_merge_blame_getVocabulary_count;TotalNumberOfOperands;blame_merge_blame_getEffort_max;blame_merge_blame_getVolume_min;blame_merge_blame_getDifficulty_count;TotalNumberOfOperators;blamemerge_blamegetLength_max;blame_merge_blame_getVocabulary_std;blame_merge_blame_getVocabulary_max;Vocabulary;blame_merge_blame_getEffort_min;MethodLength_25%;blamemerge_blamegetVolume_max;AnonymousInnerClassLength_count;blame_merge_blame_getDifficulty_min;blamemerge_blamegetLength_count;blame_merge_blame_getLength_mean;blame_merge_blame_getEffort_mean;AnonymousInnerClassLength_75%;FileLength_count;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getEffort_std;Volume;AnonymousInnerClassLength_std;AnonymousInnerClassLength_mean;blamemerge_blamegetVolume_count;blame_merge_blame_getVolume_max;blame_merge_blame_getLength_min;MethodLength_min;blamemerge_blamegetVolume_std;blamemerge_blamegetLength_std;Effort;blame_merge_blame_getDifficulty_mean;AnonymousInnerClassLength_min;blamemerge_blamegetVocabulary_std;blame_merge_blame_getLength_count;blame_merge_blame_getVolume_count;FileLength_mean;MethodLength_75%;AnonymousInnerClassLength_50%;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetDifficulty_max;FileLength_75%;blamemerge_blamegetEffort_std;blame_merge_blame_getEffort_count;AnonymousInnerClassLength_25%;MethodLength_50%;blame_merge_blame_getVocabulary_min;blame_merge_blame_getDifficulty_max;blame_merge_blame_getLength_std;MethodLength_count;NumberOfDistinctOperands;blamemerge_blamegetDifficulty_mean
673.0;33.988233257996804;0.0;6.645833333333332;0.0;0.8025869555207581;673.0;11.0;0.0;673.0;0.0;7.440683663151855;4.76814794317107;11.0;0.0;0.0;181.62015997845813;0.0;0.0;76.0;0.0;1.898959881129272;0.0;66.0;False;0.0;0.0;29.0;0.0;0.0;0.0;37.0;12.0;0.0;0.0;35.0;0.0;0.0;41.51317942364757;5.0;0.0;673.0;0.0;0.0;0.0;5.0;1.7221396731054979;0.0;338.53267911836775;0.0;0.0;673.0;0.0;0.0;0.0;8.838521335674956;3.125149823055343;2249.8317633074853;0.0;0.0;2.6561474402807557;0.0;0.0;15.2;0.0;0.0;0.0;4.375;0.0;17.211424294797023;0.0;0.0;0.0;0.0;0.0;0.0;5.0;24.0;0.4829123328380386
372.0;68.58935777509511;7.071067811865476;21.762711864406786;24.25;0.8000000339644372;372.0;24.0;0.0;372.0;0.0;11.291678409906332;6.738951577044048;17.0;48.5;0.0;386.2652384981572;20.0;0.0;97.0;25.0;2.6075268817204305;0.0;290.0;False;0.0;0.0;107.0;0.0;0.0;0.0;183.0;23.0;0.0;0.0;83.0;0.0;17.5;85.83671966625714;2.0;0.0;372.0;0.0;0.0;0.0;2.0;2.212365591397849;0.0;1848.7614350906085;0.0;0.0;372.0;0.0;0.0;15.0;12.934041480354136;4.0096577899201495;40234.06241790408;0.0;0.0;3.1038725130992364;0.0;0.0;48.5;22.5;0.0;0.0;6.0;72.75;35.575255403135685;0.0;0.0;20.0;0.0;0.0;0.0;2.0;59.0;0.4818548387096774
699.0;37.5;0.0;6.428571428571429;0.0;0.5130685519963153;699.0;10.0;0.0;699.0;0.0;4.444263036533234;2.9175429208632213;12.0;0.0;0.0;129.05865002596164;0.0;0.0;75.0;0.0;1.0629470672389127;0.0;59.0;False;0.0;0.0;27.0;0.0;0.0;0.0;32.0;12.0;0.0;0.0;31.0;0.0;0.0;43.01955000865388;4.0;0.0;699.0;0.0;0.0;0.0;4.0;0.9127324749642346;0.0;292.2975823128257;0.0;0.0;699.0;0.0;0.0;0.0;8.993768541683304;2.9032217873386417;1879.0558862967368;0.0;0.0;2.43296271361968;0.0;0.0;18.75;0.0;0.0;0.0;3.0;18.75;18.167279993223108;0.0;0.0;0.0;0.0;0.0;0.0;4.0;21.0;0.17024320457796852
662.0;78.26237921249263;13.386560424545207;41.04545454545455;0.0;1.0810675968974448;662.0;30.0;0.0;662.0;0.0;22.969026281013285;9.909954831252902;23.0;0.0;0.0;501.81380632525804;17.2;0.0;175.0;32.0;3.566465256797583;0.0;709.0;False;0.0;0.0;301.0;0.0;0.0;0.0;408.0;26.0;0.0;0.0;140.0;0.0;3.0;117.61261085748234;5.0;0.0;662.0;0.0;0.0;0.0;5.0;3.1042296072507547;0.0;5054.661659013981;0.0;0.0;662.0;0.0;0.0;3.0;17.49333023388692;4.838163892092611;207470.88536771023;0.0;0.0;3.8789957988002484;0.0;0.0;35.0;25.0;0.0;0.0;4.666666666666667;0.0;57.46732842615367;0.0;0.0;23.0;0.0;0.0;0.0;5.0;110.0;0.6987483815278377
309.0;72.8319984622144;21.213203435596427;27.123287671232877;25.75;1.1263825719124207;309.0;22.0;0.0;309.0;0.0;33.728602545688375;12.986325276968147;21.0;51.5;0.0;861.2284206514466;29.0;5.0;103.0;44.0;4.436893203883495;0.0;457.0;False;0.0;0.0;180.0;0.0;0.0;0.0;277.0;43.0;0.0;0.0;95.0;0.0;21.5;175.7609021737646;2.0;0.0;309.0;0.0;0.0;3.75;2.0;3.4563106796116503;0.0;3002.424013007243;3.5355339059327378;2.5;309.0;0.0;0.0;14.0;26.881173179377107;6.769876799094736;81435.61021581289;0.0;0.0;4.102050561884348;0.0;0.0;51.5;36.5;2.5;0.0;4.9;77.25;114.09782595440856;0.0;1.25;29.0;0.0;0.0;0.0;2.0;73.0;0.7386669156086632
78.0;0.0;0.0;5.0;26.0;0.525451140543915;78.0;10.0;0.0;78.0;26.0;3.537825481906439;2.7489879817400182;9.0;26.0;0.0;41.20902501875006;3.0;0.0;26.0;3.0;1.1538461538461535;0.0;30.0;False;0.0;0.0;11.0;0.0;0.0;0.0;19.0;13.0;0.0;0.0;21.0;0.0;3.0;41.20902501875006;1.0;0.0;78.0;0.0;0.0;0.0;1.0;0.9615384615384616;0.0;131.7695226833628;0.0;0.0;78.0;0.0;0.0;3.0;8.523913292861145;2.8425200227826157;658.8476134168139;0.0;0.0;2.170895486380497;0.0;0.0;26.0;3.0;0.0;0.0;2.0;26.0;10.030959367907755;0.0;0.0;3.0;0.0;0.0;0.0;1.0;11.0;0.21153846153846154
1512.0;34.43544685349677;3.91051214844781;35.0188679245283;0.0;0.9152172519221736;1512.0;29.0;0.0;1512.0;0.0;10.41894419322767;5.203978270561644;13.0;0.0;0.0;473.2150500951928;3.65;0.0;154.0;20.0;2.3194444444444446;0.0;383.0;False;0.0;0.0;128.0;0.0;0.0;0.0;255.0;24.0;0.0;0.0;82.0;0.0;2.0;86.03910001730776;20.0;0.0;1512.0;0.0;0.0;0.0;20.0;2.125;0.0;2434.9424177687265;0.0;0.0;1512.0;0.0;0.0;2.0;10.014686314967848;3.218361074138462;85268.92693167465;0.0;0.0;2.696834308571592;0.0;0.0;7.7;3.0;0.0;0.0;6.666666666666668;0.0;34.60982018714795;0.0;0.0;3.0;0.0;0.0;0.0;20.0;53.0;0.5051256613756614
2056.0;36.37306695894642;0.0;20.88888888888889;0.0;0.85124468118307;2056.0;18.0;0.0;2056.0;0.0;10.406871123459675;6.135036813708744;10.0;0.0;0.0;166.4210625757214;3.0;0.0;189.0;3.0;2.663910505836576;0.0;478.0;False;0.0;0.0;188.0;0.0;0.0;0.0;290.0;11.0;0.0;0.0;99.0;0.0;3.0;33.219280948873624;27.0;0.0;2056.0;0.0;0.0;0.0;27.0;2.4961089494163424;0.0;3168.832464398053;0.0;0.0;2056.0;0.0;0.0;3.0;9.421623890505584;3.1042520214878606;66193.38925631487;0.0;0.0;2.842154769384738;0.0;0.0;7.0;3.0;0.0;0.0;5.25;0.0;20.18960807977466;0.0;0.0;3.0;0.0;0.0;0.0;27.0;81.0;0.574294747081712
3525.0;56.3382640840131;9.953223933312596;32.56701030927835;0.0;0.9127296475572428;3525.0;27.0;0.0;3525.0;0.0;15.491156176278714;8.7387989878824;23.0;0.0;0.0;501.81380632525804;12.333333333333336;0.0;138.0;27.0;3.2402836879432626;0.0;552.0;False;0.0;0.0;234.0;0.0;0.0;0.0;318.0;26.0;0.0;0.0;124.0;0.0;4.75;117.61261085748234;6.0;0.0;3525.0;0.0;0.0;0.0;6.0;2.803404255319149;0.0;3838.7163633335554;0.0;0.0;3525.0;0.0;0.0;3.0;14.06237879413909;4.315701334959865;125015.5153790794;0.0;0.0;3.4917105967274225;0.0;0.0;23.0;19.25;0.0;0.0;4.666666666666667;0.0;32.22610274335948;0.0;0.0;9.0;0.0;0.0;0.0;6.0;97.0;0.5928699763593381
2385.0;61.75;4.574840616531539;44.359756097560975;0.0;0.9432904926269836;2385.0;25.0;0.0;2385.0;0.0;14.171321982604836;7.693944056176772;13.0;0.0;0.0;430.19550008653886;9.5625;0.0;247.0;18.0;3.065828092243186;0.0;858.0;False;0.0;0.0;291.0;0.0;0.0;0.0;567.0;18.0;0.0;0.0;107.0;0.0;5.0;66.60791492653966;16.0;0.0;2385.0;0.0;0.0;0.0;16.0;2.680503144654088;0.0;5784.178674332184;0.0;0.0;2385.0;0.0;0.0;4.0;12.37863548400442;3.881998172467286;256584.7552180893;0.0;0.0;3.128976892058261;0.0;0.0;15.4375;11.25;0.0;0.0;7.5;0.0;31.891281297355395;0.0;0.0;9.0;0.0;0.0;0.0;16.0;82.0;0.6562643506039733
