WMC_CK_count;NORM;DIT;WMC;WMC_CK_mean;NMIR;WMC_CK_50%;WMC_CK_min;WMC_CK_25%;WMC_CK_std;Bugged;NOCh;NMI;WMC_CK_75%;WMC_CK_max;NPM
4.0;0.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
2.0;0.0;1.0;6.0;1.5;0.0;1.5;1.0;1.25;0.7071067811865476;False;0.0;0.0;1.75;2.0;1.0
3.0;0.0;1.0;4.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
5.0;0.0;1.0;11.0;3.0;0.0;3.0;1.0;2.0;1.5811388300841898;False;0.0;0.0;4.0;5.0;5.0
2.0;0.0;0.0;0.0;3.0;0.0;3.0;1.0;2.0;2.8284271247461903;False;0.0;0.0;4.0;5.0;0.0
1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
20.0;0.0;1.0;27.0;1.25;0.0;1.0;1.0;1.0;0.9104654680003259;False;0.0;0.0;1.0;5.0;20.0
27.0;0.0;1.0;28.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;27.0
6.0;0.0;1.0;13.0;2.333333333333333;0.0;2.0;1.0;1.25;1.5055453054181618;False;0.0;0.0;2.75;5.0;6.0
16.0;0.0;1.0;31.0;2.0625;0.0;2.0;1.0;1.0;1.3400870618483465;False;0.0;0.0;2.25;5.0;4.0
3.0;0.0;1.0;4.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;3.0
6.0;0.0;1.0;10.0;2.0;0.0;1.5;1.0;1.0;1.2649110640673518;False;0.0;0.0;2.75;4.0;6.0
0.0;0.0;1.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;4.0
14.0;0.0;1.0;31.0;2.2857142857142856;0.0;2.0;1.0;1.0;1.3827826698682308;False;0.0;0.0;3.0;5.0;4.0
2.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;2.0
3.0;0.0;1.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;2.0
5.0;0.0;0.0;0.0;1.4;0.0;1.0;1.0;1.0;0.8944271909999161;False;0.0;0.0;1.0;3.0;0.0
